variable;category
year;time
month;time
chla_ugL_INT;biological
NH4_mgL;chemical
pH;physicochemical
secchi_m;physicochemical
TN_mgm3;chemical
TP_mgm3;chemical
TN_TP;chemical
chla_ugL_8;biological
DO_sat_1;physicochemical
DO_sat_8;physicochemical
PAR_umolm2s_1;physicochemical
turbidity_ntu_1;physicochemical
turbidity_ntu_8;physicochemical
SpC_uScm_1;physicochemical
SpC_uScm_8;physicochemical
temp_C_1;physicochemical
temp_C_8;physicochemical
thermo_depth;mixing
schmidt_stability;mixing
lake_num;mixing
uStar;mixing
epi_dens;mixing
hypo_dens;mixing
hypo_temp;mixing
epi_temp;mixing
meta_top;mixing
meta_bot;mixing
air_temp;meteorological
air_temp_min;meteorological
air_temp_mean;meteorological
air_temp_max;meteorological
rain;meteorological
rain_min;meteorological
rain_mean;meteorological
rain_max;meteorological
air_pressure;meteorological
air_pressure_min;meteorological
air_pressure_mean;meteorological
air_pressure_max;meteorological
shortwave;meteorological
shortwave_min;meteorological
shortwave_mean;meteorological
shortwave_max;meteorological
longwave;meteorological
longwave_min;meteorological
longwave_mean;meteorological
longwave_max;meteorological
windspeed;meteorological
windspeed_min;meteorological
windspeed_mean;meteorological
windspeed_max;meteorological
area_pct_aq_vegetation;land_cover
area_pct_decid_hardwood;land_cover
area_pct_exotic_forest;land_cover
area_pct_forest_harvested;land_cover
area_pct_gorse;land_cover
area_pct_hp_exotic_grassland;land_cover
area_pct_manuka;land_cover
area_pct_native_forest;land_cover
area_pct_native_hardwood;land_cover
area_pct_settlement;land_cover
area_pct_water;land_cover
area_ha_aq_vegetation;land_cover
area_ha_decid_hardwood;land_cover
area_ha_exotic_forest;land_cover
area_ha_forest_harvested;land_cover
area_ha_gorse;land_cover
area_ha_hp_exotic_grassland;land_cover
area_ha_manuka;land_cover
area_ha_native_forest;land_cover
area_ha_native_hardwood;land_cover
area_ha_settlement;land_cover
area_ha_water;land_cover
L_alum_day;dosing
bottom_DRP_ugL;chemical
top_DRP_ugL;chemical
top_NH4_ugL;chemical
bottom_NH4_ugL;chemical
top_NO3_ugL;chemical
bottom_NO3_ugL;chemical
bottom_TN_ugL;chemical
top_TN_ugL;chemical
bottom_TP_ugL;chemical
top_TP_ugL;chemical
DN_DP;chemical
bottom_pH;physicochemical
top_pH;physicochemical
