"Date","MET_tmpair","MET_tmpdew","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow","MET_prsttn","MET_radswd"
1980-01-01,14.1577,11.3089,3.52461,-0.510741,14.4217,0,96105,196.217
1980-01-02,12.8014,7.37167,2.72809,1.07068,1.14353,0,96079.6,241.297
1980-01-03,13.152,7.3595,-0.289432,3.20621,0.444128,0,96714.1,292.222
1980-01-04,13.642,7.93347,-1.15796,3.12358,0.257345,0,97036,262.21
1980-01-05,14.4147,8.17297,-1.22432,2.03294,0.0435827,0,97087.7,370.921
1980-01-06,15.0839,9.59761,0.0348378,0.597532,0.363189,0,96926.8,265.322
1980-01-07,15.6681,12.9471,-0.303361,-1.07693,6.16799,0,97082,213.151
1980-01-08,16.2342,13.3374,0.0169834,-1.23156,5.98535,0,97346.6,208.323
1980-01-09,17.0542,13.4533,0.842453,-0.234312,4.35412,0,97375,206.63
1980-01-10,19.1462,12.515,1.51383,0.466855,0.857126,0,96984.8,352.544
1980-01-11,16.6851,15.8715,0.913332,-0.93834,6.36515,0,96555.4,64.8082
1980-01-12,19.2355,15.251,2.85847,1.3749,2.6959,0,96477.7,324.174
1980-01-13,19.02,14.7535,2.85329,1.3946,0.0477334,0,96567.8,300.912
1980-01-14,19.6446,16.5753,2.45308,0.10078,1.51502,0,96204.2,214.099
1980-01-15,17.5204,17.1908,1.66278,-3.3647,28.7127,0,94920.9,66.1346
1980-01-16,12.3635,10.0343,3.92364,-1.5835,24.6989,0,94353.5,265.805
1980-01-17,12.0386,7.82828,3.2435,0.691063,11.6428,0,95323,281.822
1980-01-18,14.5762,9.86596,3.41867,-1.18439,2.86608,0,96390.2,238.737
1980-01-19,16.1565,14.6357,2.13995,-3.11902,6.34024,0,96446.6,79.3121
1980-01-20,14.2624,13.1766,0.558017,-0.438052,28.7002,0,96744.8,102.37
1980-01-21,16.2893,16.2459,-0.218492,-2.14031,59.729,0,96267.7,52.4117
1980-01-22,15.2627,11.7193,2.87451,-1.79489,28.1171,0,96018.2,235.93
1980-01-23,14.9819,11.6856,1.20213,-2.01733,1.08749,0,96686,176.302
1980-01-24,16.4921,13.4666,1.67211,-1.71264,2.62326,0,96817.8,216.895
1980-01-25,16.6566,11.8912,0.933857,-0.222566,0.520917,0,97438,356.616
1980-01-26,18.7361,15.1245,0.426201,-1.13866,0.0124522,0,97589.5,352.048
1980-01-27,19.815,16.2388,0.494072,-0.525721,0.0871654,0,97740.2,297.565
1980-01-28,19.7354,16.6998,-0.449883,-0.925337,0.0373566,0,97850.9,268.886
1980-01-29,20.1142,16.6803,0.0441237,-0.76049,0.0186783,0,97874.9,300.894
1980-01-30,20.2878,16.3743,0.417393,-0.557378,0.128673,0,97878.6,252.869
1980-01-31,20.7957,16.9503,0.130262,-0.662012,0.0782933,0,97768.5,326.216
1980-02-01,20.3041,15.502,0.756694,-0.462335,0.0567973,0,97462.8,343.394
1980-02-02,18.2816,13.8191,1.42644,-0.203417,0.0149467,0,97017.4,324.021
1980-02-03,17.6377,13.0376,1.50347,-0.663736,0.0239147,0,96726.6,332.077
1980-02-04,18.9014,15.2714,1.00091,-0.887009,0.630749,0,96635.5,195.181
1980-02-05,20.3978,16.0778,0.109104,0.147229,0.744344,0,96497.8,272.875
1980-02-06,19.5463,14.9319,2.33354,0.267076,0.364699,0,96104.5,302.44
1980-02-07,17.9833,14.515,-0.768184,-0.0514344,2.08655,0,96708.3,162.757
1980-02-08,17.9501,13.668,-0.799516,-1.15802,1.63516,0,96901.9,329.953
1980-02-09,17.9502,15.5215,1.06813,-1.57762,2.74122,0,96654,149.683
1980-02-10,14.423,7.88048,2.34014,1.81754,2.62463,0,96884.4,301.793
1980-02-11,14.2586,6.22902,-2.51121,1.83136,0.017936,0,97725.2,235.277
1980-02-12,14.6857,8.90914,-3.49058,1.43518,0.920714,0,97970.2,208.734
1980-02-13,15.4116,14.0043,-3.39613,-0.518551,15.413,0,97674.7,93.7485
1980-02-14,16.1744,12.4114,-3.32941,0.252973,2.11645,0,97600.6,103.053
1980-02-15,16.1638,11.0176,-3.15005,0.622976,0.137509,0,97570.8,186.423
1980-02-16,17.3921,13.176,-2.98802,0.0426555,0.511176,0,97279.5,231.876
1980-02-17,16.4857,13.3557,-1.15624,0.0163907,2.5499,0,96841,157.471
1980-02-18,16.8538,14.2485,-0.0414603,0.29237,8.40002,0,96565.7,241.354
1980-02-19,17.029,12.4654,0.819494,0.508955,6.66621,0,96426.3,265.26
1980-02-20,15.8133,12.6779,3.58122,1.07634,0.980501,0,95935.5,148.947
1980-02-21,14.9221,12.0026,2.42534,0.0611512,3.0252,0,96019.6,161.062
1980-02-22,16.1595,12.7091,3.10816,-0.420356,6.24173,0,95764.7,197.601
