"date_inf","DRP_gm3_inf","NH4-N_gm3_inf","NNN_gm3_inf","TN_gm3_inf","TP_gm3_inf"
"2001-08-29T19:55:00Z",0.11,0.249,0.28999999,0.25099999,0.15099999
"2002-01-30T20:15:00Z",0.090999998,0.23899999,0.20999999,0.27200001,0.139
"2002-03-25T21:52:00Z",0.085000001,0.236,0.183,0.38999999,0.164
"2002-04-23T23:00:00Z",0.124,0.25400001,0.198,0.233,0.086000003
"2002-06-17T21:50:00Z",0.11,0.241,0.19400001,0.229,0.152
"2002-08-13T22:05:00Z",0.117,0.234,0.257,0.294,0.145
"2002-10-08T22:10:00Z",0.109,0.018999999,0.21799999,0.23999999,0.32600001
"2002-12-19T19:45:00Z",0.107,0.237,0.189,0.25,0.156
"2003-03-31T23:20:00Z",0.006,0.87199998,NA,NA,NA
"2003-04-15T22:50:00Z",0.032000002,0.01,0.204,0.064000003,0.054000001
"2003-12-11T22:02:00Z",0.083999999,0.223,0.22,0.19,0.022
"2004-02-03T20:30:00Z",0.117,0.23100001,0.20299999,0.30199999,0.14300001
"2004-04-17T23:05:00Z",0.082999997,0.24699999,0.214,0.56800002,0.20100001
"2004-06-01T22:00:00Z",0.056000002,0.26100001,0.28999999,0.13600001,0.124
"2005-02-01T01:00:00Z",0.024,0.027000001,0.18099999,0.114,0.057999998
"2005-03-30T22:00:00Z",0.052000001,0.035,0.204,0.18099999,0.075000003
"2005-05-29T12:00:00Z",0.134,0.223,0.347,0.23899999,0.145
"2005-08-03T23:06:00Z",0.093999997,0.234,2.54,0.30599999,0.102
"2005-09-27T23:00:00Z",0.041999999,0.21600001,0.41100001,0.22,0.2
"2006-05-29T12:00:00Z",0.118,0.34,0.011,0.40000001,0.147
"2006-06-22T12:00:00Z",0.086999997,0.27000001,0.02,0.40000001,0.21699999
"2006-09-27T12:00:00Z",0.046,0.039999999,0.461,0.1,0.052999999
"2007-02-14T00:05:00Z",0.043000001,0.23999999,0.32800001,0.25,0.12
"2007-03-19T00:50:00Z",0.078000002,0.22,0.25999999,0.2,0.15000001
"2007-05-11T00:20:00Z",0.104,0.22499999,NA,0.41,0.16
"2007-07-05T00:10:00Z",0.108,0.025,0.228,0.16,0.11
"2007-08-30T02:15:00Z",0.11,0.022,0.32499999,0.27000001,0.13500001
"2007-09-12T01:20:00Z",0.090999998,0.221,0.31999999,0.27200001,0.15800001
"2007-12-17T00:00:00Z",0.113,0.23800001,0.25,0.29100001,0.118
"2008-02-13T12:00:00Z",0.078000002,0.25600001,0.19499999,0.33399999,0.14399999
"2008-03-18T23:00:00Z",0.041000001,0.26199999,0.23899999,0.52399999,0.126
"2008-04-14T02:05:00Z",0.034000002,0.205,0.214,0.40200001,0.27200001
"2008-05-23T00:05:00Z",0.054000001,0.22,0.301,0.25999999,0.18000001
"2008-06-25T23:50:00Z",0.039000001,0.21600001,0.354,0.30599999,0.155
"2009-02-11T00:35:00Z",0.017999999,0.025,0.207,0.14,0.057
"2009-04-16T01:45:00Z",0.025,0.035,0.2,0.050000001,0.068000004
"2009-06-12T00:55:00Z",0.033,0.029999999,0.229,0.050000001,0.064000003
"2009-08-04T23:40:00Z",0.028000001,0.024,0.27500001,0.050000001,0.066
"2009-08-05T00:42:00Z",0.11,0.27000001,0.241,0.28999999,0.19
"2009-10-06T01:15:00Z",0.054000001,0.23999999,0.252,0.28,0.17
"2009-12-03T01:10:00Z",0.068000004,0.27000001,0.178,0.50599998,0.184
"2010-02-10T01:10:00Z",0.041999999,0.278,0.164,0.49599999,0.186
"2010-04-20T02:15:00Z",0.057,0.31299999,0.162,0.48800001,0.17200001
"2010-06-09T02:30:00Z",0.046999998,0.27599999,0.223,0.505,0.161
"2010-08-04T02:00:00Z",0.028000001,0.227,0.25799999,0.5,0.14300001
"2010-10-18T01:25:00Z",0.059999999,0.28400001,0.15899999,0.38999999,0.19599999
"2010-12-13T00:00:00Z",0.061000001,0.23199999,0.236,0.56999999,0.38999999
"2011-02-03T01:20:00Z",0.061999999,0.2,0.31799999,0.53500003,0.15099999
"2011-04-14T03:00:00Z",0.046,0.22,0.403,0.56099999,0.119
"2011-05-30T03:30:00Z",0.035,0.198,0.49399999,0.67400002,0.161
"2011-08-02T03:20:00Z",0.050000001,0.211,0.55900002,0.72000003,0.177
"2011-10-03T22:25:00Z",0.043000001,0.237,0.47,0.64200002,0.17399999
"2011-12-07T21:28:00Z",0.037999999,0.23899999,0.35800001,0.54900002,0.145
"2012-02-14T20:30:00Z",0.061000001,0.26100001,0.25099999,0.465,0.199
"2012-04-11T23:22:00Z",0.046,0.23199999,0.36000001,0.57499999,0.14
"2012-06-11T22:32:00Z",0.025,0.222,0.39399999,0.71200001,0.153
"2019-08-19T22:45:00Z",0.066,0.245,0.231,0.454,0.161
"2019-09-23T22:35:00Z",0.044,0.203,0.217,0.429,0.153
"2019-10-15T21:35:00Z",0.054,0.211,0.222,0.416,0.117
"2019-11-18T21:30:00Z",0.06,0.23,0.174,0.401,0.157
"2019-12-04T21:45:00Z",0.064,0.246,0.158,0.377,0.134
"2020-01-21T21:35:00Z",0.03,0.226,0.157,0.38,0.145
"2020-02-12T21:45:00Z",0.038,0.235,0.154,0.4185,0.1326
"2020-05-17T12:00:00Z",0.0239,0.2232,0.1569,0.4267,0.1591
"2020-06-14T22:35:00Z",0.0468,0.2368,0.1838,0.428,0.1496
"2020-07-28T22:20:00Z",0.0702,0.2297,0.2305,0.4536,0.1363
"2020-08-24T22:20:00Z",0.0537,0.2019,0.2414,0.4786,0.1148
"2020-09-20T22:10:00Z",0.0574,0.2212,0.2042,0.3847,0.1501
"2020-10-26T21:15:00Z",0.061,0.242,0.168,0.423,0.142
"2020-11-24T20:55:00Z",0.044,0.219,0.166,0.393,0.153
"2020-12-13T20:54:00Z",0.015,0.219,0.159,0.363,0.163
"2021-01-27T21:05:00Z",0.037,0.251,0.133,0.387,0.132
"2021-02-14T21:10:00Z",0.041,0.221,0.139,0.391,0.126
"2021-03-16T12:00:00Z",0.018,0.237,0.148,0.417,0.148
"2021-04-19T21:39:00Z",0.0599,0.227,0.1367,0.3959,0.1033
"2021-05-16T22:11:00Z",0.0174,0.2361,0.1527,0.4033,0.1191
"2021-06-14T22:05:00Z",0.0391,0.217,0.172,0.4173,0.139
"2021-07-12T21:50:00Z",0.0165,0.2252,0.2118,0.4705,0.0999
"2021-08-03T21:55:00Z",0.0303,0.2083,0.23,0.4988,0.1359
"2021-11-10T00:15:00Z",0.0461,0.2338,0.164,0.3904,0.158
"2022-01-31T22:45:00Z",0.0496,0.2405,0.1395,0.3746,0.1453
"2022-05-16T00:05:00Z",0.0304,0.2338,0.1671,0.5329,0.3431
"2022-08-03T01:30:00Z",0.0548,0.202,0.3427,0.5539,0.1443
"2022-11-08T23:02:00Z",0.0517,0.2002,0.241,0.4406,0.11
"2023-02-19T22:30:00Z",0.02,0.1464,0.345,0.5722,0.0895
"2023-05-21T22:00:00Z",0.0139,0.1596,0.4454,0.6876,0.1005
"2023-08-02T21:30:00Z",0.0131,0.1298,0.2613,0.5741,0.0866
