"Date","MET_tmpair","MET_tmpdew","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow","MET_prsttn","MET_radswd","MET_radlwd"
1999-01-01,19.8225,13.8593,-0.578916,0.841428,0.0269066,0,97311.3,336.601,350.546
1999-01-02,17.7691,11.1492,-1.61784,2.2496,0.0269066,0,97931.6,331.134,326.011
1999-01-03,17.6093,10.5881,-0.870839,-0.0212923,0.310218,0,98081.3,375.159,324.457
1999-01-04,18.2193,13.4662,-0.410883,-1.17904,0.3118,0,98078.1,347.371,338.809
1999-01-05,19.8615,15.9205,-0.262389,-1.52689,0.110792,0,98156,358.671,351.311
1999-01-06,20.5522,16.24,0.221663,-0.795708,0.0458996,0,97997.5,358.495,345.663
1999-01-07,21.1578,15.1123,1.16283,-0.444879,0.0158274,0,97564.8,382.799,337.849
1999-01-08,20.4272,11.7272,2.87206,1.34573,1.93095,0,97136.3,358.196,348.929
1999-01-09,18.0386,11.2625,-2.32832,0.725971,1.93095,0,97763.1,277.654,363.269
1999-01-10,17.1818,10.5908,-1.13983,-2.43,0.0949646,0,98594.9,300.248,351.86
1999-01-11,17.0797,11.0835,-1.99322,-1.83119,2.02116,0,98614.6,328.108,353.983
1999-01-12,17.2791,14.1932,-1.94939,-1.85025,2.3203,0,98331.1,172.575,370.3
1999-01-13,18.1204,15.4864,-1.80344,-2.28633,13.6638,0,98098,144.417,383.743
1999-01-14,18.4384,17.4066,-0.942808,-2.42876,14.7069,0,97669,103.539,400.761
1999-01-15,19.2575,18.864,-1.25566,-0.625608,18.7698,0,97625.3,141.622,404.443
1999-01-16,19.729,18.6943,-1.07502,0.365388,19.5849,0,97107.7,173.975,401.095
1999-01-17,18.6345,17.348,-0.146313,-0.182255,8.053,0,96899.8,206.889,385.543
1999-01-18,19.5288,17.4752,-0.57069,-0.006263,4.9255,0,97264.7,240.137,378.48
1999-01-19,20.3082,17.6465,-0.467565,-1.36407,2.07498,0,97611.9,265.227,387.084
1999-01-20,20.2071,17.9822,-0.186015,-1.26289,9.90164,0,97603.8,252.101,388.272
1999-01-21,19.8939,17.8295,-1.4153,0.574245,10.0014,0,97460,177.202,404.905
1999-01-22,19.0076,14.3909,-3.22615,3.09263,0.389355,0,97388.9,221.787,380.502
1999-01-23,18.3249,13.1417,-3.5847,3.50469,0.321297,0,97502.5,281.776,359.175
1999-01-24,18.0114,12.1558,-2.8011,4.33487,0.0110792,0,97302.1,327.134,332.202
1999-01-25,16.7536,10.2304,-1.25367,3.58221,0.00316549,0,97380.1,370.921,296.832
1999-01-26,16.4651,10.1617,-0.853426,1.74384,0.261153,0,97444.9,367.286,322.094
1999-01-27,18.6373,14.0181,-1.2682,-0.921695,0.261153,0,97838.7,350.233,335.569
1999-01-28,17.7046,12.6272,-0.841246,-1.22775,0.303887,0,98219.1,314.36,343.566
1999-01-29,17.0586,11.8161,-3.23544,-1.67399,13.6607,0,98342.2,265.209,381.576
1999-01-30,17.957,15.8065,-2.83034,-2.69326,14.0943,0,97355.2,140.136,398.777
1999-01-31,18.4264,16.2466,2.19874,0.254609,2.20709,0,96684.2,320.138,376.31
1999-02-01,14.2246,6.34557,-1.91559,3.03822,0.0506546,0,98562.6,357.694,313.458
1999-02-02,15.2402,8.61893,-1.45166,0.25484,0.0506546,0,98994.8,303.086,326.999
1999-02-03,15.881,10.0787,-0.658127,-0.363512,0.00241213,0,99008.7,296.466,321.174
1999-02-04,17.1636,11.5236,-0.0351628,-0.818537,0.0892486,0,99046.6,337.712,323.629
